SYMBOL,Name,买卖价格,买卖数量,买卖金额,交易,卖出盈利,日期
COIN,Coinbase,$252.74,20,"$5,054.80",卖,"$5,496.00","March 19, 2024"
GOOGL,Google Class A,$176.60,20,"$3,532.00",卖,$814.00,"June 7, 2024"
AMD,AMD,$159.00,10,"$1,590.00",卖,-$37.00,"July 2, 2024"
AVGO,Broadcom,"$1,740.00",1,"$1,740.00",卖,-$112.00,"July 9, 2024"
SQQQ,SQQQ,$7.56,200,"$1,512.00",卖,-$12.00,"July 12, 2024"
SPY,SPY,$553.95,3,"$1,661.85",卖,$33.80,"July 22, 2024"
VTI,VTI,$273.45,3,$820.35,卖,$15.90,"July 22, 2024"
IVV,IVV,$557.00,4,"$2,228.00",卖,$33.30,"July 22, 2024"
COIN,Coinbase,$261.00,10,"$2,610.00",卖,"$1,270.00","July 24, 2024"
MGK,MGK,$304.14,17,"$5,170.38",卖,$103.00,"August 14, 2024"
AVGO,Broadcom,$158.00,10,"$1,580.00",卖,$80.00,"August 14, 2024"
JPM,JPMorgan,$209.00,10,"$2,090.00",卖,$110.00,"August 14, 2024"
JEPQ,JEPQ,$52.73,100,"$5,273.00",卖,$30.00,"August 15, 2024"
AAPL,Apple,$223.00,30,"$6,690.00",卖,"$3,952.00","August 15, 2024"
PYPL,PayPal,$68.00,20,"$1,360.00",卖,$64.00,"August 17, 2024"
FLIN,FLIN,$40.55,20,$811.00,卖,$0.00,"August 19, 2024"
LI,Li Auto,$21.00,150,"$3,150.00",卖,$294.20,"August 19, 2024"
BRK.B,Berkshire B,$446.00,4,"$1,784.00",卖,$76.00,"August 19, 2024"
TLT,TLT,$97.62,40,"$3,904.80",卖,$79.20,"August 19, 2024"
VTI,VTI,$273.50,20,"$5,470.00",买,,"August 19, 2024"
VT,VT,$115.50,60,"$6,930.00",买,,"August 19, 2024"
BNDW,BNDW,$69.84,55,"$3,841.20",买,,"August 19, 2024"
V,Visa,$268.04,10,"$2,680.40",卖,$77.90,"August 21, 2024"
QQQ,QQQ,$481.42,14,"$6,739.88",卖,$974.72,"August 21, 2024"
ASML,ASML,$937.00,2,"$1,874.00",卖,$937.00,"August 21, 2024"
DIA,DIA,$409.50,8,"$3,276.00",卖,$58.24,"August 21, 2024"
IWY,IWY,$216.99,14,"$3,037.86",卖,$193.60,"August 21, 2024"
VTI,VTI,$275.99,36,"$9,935.64",买,,"August 21, 2024"
VOO,VOO,$514.50,15,"$7,717.50",买,,"August 21, 2024"
VXUS,VXUS,$62.60,100,"$6,260.00",买,,"August 21, 2024"
SCHD,SCHD,$82.60,20,"$1,652.00",卖,$39.20,"August 21, 2024"
MOAT,MOAT,$92.94,20,"$1,858.80",卖,$48.80,"August 21, 2024"
MSFT,Microsoft,$422.00,5,"$2,110.00",卖,$941.70,"August 22, 2024"
GOOGL,Google,$167.20,20,"$3,344.00",卖,$899.50,"August 22, 2024"
COIN,Coinbase,$201.00,6,"$1,206.00",卖,$66.30,"August 22, 2024"
META,Meta,$535.00,5,"$2,675.00",卖,"$1,001.00","August 21, 2024"
BNDW,BNDW,$69.96,80,"$5,596.80",买,,"August 22, 2024"
TSLA,Tesla,$220.00,10,"$2,200.00",卖,"$1,549.66","August 24, 2024"
1810.HK,小米集团,,,$0.00,卖,$100.00,"August 26, 2024"
VOO,VOO,$517.82,16,"$8,285.12",卖,$285.28,"August 26, 2024"
VOO,VOO,$517.70,16,"$8,283.20",买,,"August 26, 2024"
QCOM,Qualcomm,$173.80,10,"$1,738.00",卖,$52.00,"August 26, 2024"
TSM,TSMC,$170.66,20,"$3,413.20",卖,$728.20,"August 26, 2024"
AMZN,Amazon,$177.51,20,"$3,550.20",卖,$205.20,"August 26, 2024"
AMD,AMD,$155.29,20,"$3,105.80",卖,$433.80,"August 26, 2024"
NVDA,Nvidia,$121.20,200,"$24,240.00",卖,"$23,348.88","September 25, 2024"
NVDA,NVDA 50股,,50,$0.00,卖,$454.00,"October 8, 2024"
VXUS,VXUS,$63.41,15.77,$999.98,买,,"October 18, 2024"
VT,VT,$119.86,12.51,"$1,499.45",买,,"October 17, 2024"
MCHI,MCHI,$55.37,100,"$5,537.00",买,,"October 2, 2024"
KWEB,KWEB,$38.53,100,"$3,853.00",买,,"October 2, 2024"
NVDA,NVDA IB,$120.90,200,"$24,180.00",买,,"September 25, 2024"
KWEB,KWEB,$32.30,100,"$3,230.00",卖,-$622.00,"November 6, 2024"
MCHI,MCHI,$47.82,100,"$4,782.20",卖,-$755.00,"November 18, 2024"
VOO,VOO,$558.74,20,"$11,174.73",买,,"December 5, 2024"
VTI,VTI,$302.53,33,"$9,983.49",买,,"December 5, 2024"
VXUS,VXUS,$59.63,296,"$17,650.48",卖,-$915.00,"January 18, 2025"
BNDW,BNDW,$68.51,250,"$17,127.50",卖,-$353.00,"February 3, 2025"
NVDA,NVDA 50,$131.00,50,"$6,550.00",卖,$458.00,"February 10, 2025"
NVDA,NVDA 50,$134.70,50,"$6,735.00",卖,$642.00,"February 10, 2025"
VOO,VOO,$555.74,51,"$28,342.74",卖,"$1,165.00","February 11, 2025"
NVDA,NVDA 50,$135.80,50,"$6,790.00",卖,$684.00,"February 13, 2025"
NVDA,NVDA 50,$138.50,5,$692.50,卖,$809.00,"February 15, 2025"
NVDA,NVDA 50,$140.50,50,"$7,025.00",卖,$997.00,"February 18, 2025"
VTI,VTI 100,$302.65,100,"$30,265.00",卖,"$1,418.00","February 18, 2025"
VNQ,VNQ 手滑误操作(原收益$45),$91.34,100,"$9,134.00",卖,-$6.00,"February 19, 2025"
VTIP,VTIP,$49.29,150,"$7,393.50",卖,$37.00,"February 28, 2025"
VTI,VTI 50,$293.80,50,"$14,690.00",卖,-$12.00,"March 3, 2025"
VTI,VTI 50,$284.40,50,"$14,220.00",卖,-$203.00,"March 5, 2025"
VTI,VTI 40,$284.60,40,"$11,384.00",卖,-$154.00,"March 5, 2025"
VTIP,VTIP,$49.49,150,"$7,423.50",卖,$68.00,"March 11, 2025"
BSV,BSV 100,$77.48,100,"$7,748.00",卖,$37.00,"March 19, 2025"
VXUS,VXUS,$64.29,200,"$12,858.00",卖,$177.00,"March 20, 2025"
AAPL,Apple,$223.70,30,"$6,711.00",卖,$264.00,"March 26, 2025"
BNDW,BNDW 300,$68.89,300,"$20,667.00",卖,-$64.00,"March 31, 2025"
VGK,VGK 150,$70.38,150,"$10,557.00",卖,-$338.00,"April 3, 2025"
BABA,Alibaba,$129.00,50,"$6,450.00",卖,-$238.00,"April 3, 2025"
GOOGL,Google 30,$150.22,30,"$4,506.60",卖,-$183.00,"April 7, 2025"
COIN,CoinBase 40,$155.57,40,"$6,222.80",卖,"-$1,125.00","April 7, 2025"
COIN,Coinbase 20,$198.60,20,"$3,972.00",卖,$297.89,"April 23, 2025"
COIN,Coinbase 14,$245.00,14,"$3,430.00",卖,$858.00,"May 14, 2025"
META,Meta 10,$652.50,10,"$6,525.00",卖,$814.30,"May 15, 2025"
META,Meta 5,$640.67,5,"$3,203.35",卖,$357.00,"May 21, 2025"
COIN,Coinbase,$263.26,20,"$5,265.20",卖,"$1,591.00","May 21, 2025"
META,Meta,$637.40,5,"$3,187.00",卖,$331.00,"May 22, 2025"
AMZN,Amazon,$202.50,10,"$2,025.00",卖,$104.59,"May 22, 2025"
VT,VT 50,$123.10,50,"$6,155.00",卖,$173.00,"May 27, 2025"
SGOV,SGOV,$106.66,170,"$18,132.20",卖,$14.46,"May 27, 2025"
VT,VT 50,$123.41,50,"$6,170.50",卖,$189.00,"May 27, 2025"
VT,VT 100,$123.52,100,"$12,352.00",卖,$390.00,"May 27, 2025"
META,Meta 5,$644.95,5,"$3,224.75",卖,$369.00,"May 28, 2025"
META,Meta 10,$644.16,10,"$6,441.60",卖,$730.00,"May 28, 2025"
AMZN,Amazon 30,$205.69,30,"$6,170.70",卖,$410.00,"May 29, 2025"
META,Meta 5,$645.82,5,"$3,229.10",卖,$373.00,"May 29, 2025"
VT,VT 50,$123.59,50,"$6,179.50",卖,$198.83,"June 2, 2025"
VT,VT 50,$124.00,50,"$6,200.00",卖,$219.00,"June 3, 2025"
VT,VT 50,$124.12,50,"$6,206.00",卖,$225.00,"June 3, 2025"
VT,VT 50,$124.30,50,"$6,215.00",卖,$234.00,"June 4, 2025"
VT,VT 50,$124.60,50,"$6,230.00",卖,$249.00,"June 4, 2025"
VT,VT 10,$125.01,50,"$6,250.50",卖,$269.00,"June 6, 2025"
VT,VT 100,$125.47,100,"$12,547.00",卖,$585.68,"June 6, 2025"
VT,VT 100,$125.50,100,"$12,550.00",卖,$588.69,"June 6, 2025"
VT,VT 20,$128.06,20,"$2,561.20",卖,$168.00,"June 30, 2025"
VTI,VTI 10,$303.31,10,"$3,033.10",卖,$301.00,"June 30, 2025"
VT,VT 30,$128.00,30,"$3,840.00",卖,$251.00,"August 1, 2025"
VTIP,VTIP 100,$50.34,100,"$5,034.00",卖,$36.44,"August 14, 2025"
VTI,VTI,$314.26,30,"$9,427.80",卖,"$1,232.44","August 20, 2025"
VTI,VTI 20,$314.70,20,"$6,294.00",卖,$830.33,"August 20, 2025"
VT,VT 54,$132.84,54,"$7,173.36",卖,$714.00,"August 20, 2025"
ASML,ASML,$946.06,2,"$1,892.12",卖,$458.00,"October 10, 2025"
IBKR,IBKR,$70.16,10,$701.60,卖,$393.00,"October 10, 2025"
ASML,ASML,"$1,058.71",4,"$4,234.84",卖,"$1,368.40","October 27, 2025"
IBKR,IBKR,$68.72,12.74,$875.49,卖,$482.00,"November 7, 2025"
PDD,PDD,$134.70,100,"$13,470.00",卖,"$3,294.00","November 13, 2025"
VTI,VTI 10,$337.66,10,"$3,376.60",卖,$644.00,"December 5, 2025"
PDD,PDD 20,$114.05,20,"$2,281.00",卖,$245.59,"December 26, 2025"
VTI,VTI,$338.69,15,"$5,080.35",卖,$982.00,"December 30, 2025"
VTI,VTI 15.88,$335.62,15.88,"$5,329.65",卖,$991.00,"January 2, 2026"
PDD,PDD,$123.38,20,"$2,467.60",卖,$432.18,"January 5, 2026"
META,Meta 3,$715.00,3,"$2,145.00",卖,$193.00,"January 29, 2026"
BABA,Alibaba 20,$122.60,20,"$2,452.00",卖,$255.78,"March 31, 2026"
PDD,PDD,$100.69,20,"$2,013.80",卖,$16.40,"March 31, 2026"
COIN,Coinbase,$169.50,20,"$3,390.00",卖,-$90.47,"March 31, 2026"
BABA,Alibaba 60,$124.00,60,"$7,440.00",卖,$596.50,"March 31, 2026"
COIN,Coinbase,$194.00,10,"$1,940.00",卖,$199.59,"April 15, 2026"
META,Meta,$688.00,3,"$2,064.00",卖,-$20.91,"April 17, 2026"
